NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Luoston Kauppa;Hartsutie 1;99555;Luosto;Sodankylä;02.11.2015;Vähittäismyyntilupa/max. 5.5 %;2714013-4
Luoto Kuopio;Makasiininkatu 5;70100;Kuopio;Kuopio;14.04.2023;Anniskelu A, kaikki alkoholijuomat;3171341-7
Luotsihotelli;Marjaniementie 789;90480;Hailuoto;Hailuoto;09.03.2020;Anniskelu A, kaikki alkoholijuomat;3097154-5
Luova Keittiö;Uudenmaankatu 70;05460;Hyvinkää;Hyvinkää;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2509933-4
Luova Puu Ateljee Galleria Cafe;Pajuharjuntie 16;73100;Lapinlahti;Lapinlahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Luovutuspaikka M-Market Sukeva;Sukevantie 16;74340;Sukeva;Sonkajärvi;01.03.2020;Luovutuspaikka;1505551-4
Luovutuspaikka, K-Market Riistaherk;Keskustie 15;71160;Riistavesi;Kuopio;27.01.2022;Luovutuspaikka;1505551-4
Luovuus kukkii kaaoksesta;Pieni Roobertinkatu 13;00130;Helsinki;Helsinki;15.10.2021;Anniskelu A, kaikki alkoholijuomat;3160266-1
Luukin kartano;Luukintie 33;02970;Espoo;Espoo;01.04.2022;Ann.lupa sis. vähittäismyynnin;0648717-1
Luumäen Palvelukeskus Mäntykoti;Patteritie 7;54500;Taavetti;Luumäki;01.06.2000;Anniskelu A, kaikki alkoholijuomat;1076303-6
Lyhty Bar;Klippinkitie 7;02780;Espoo;Espoo;01.09.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Lyhty Kahvila;Riihentie 4;95970;Äkäslompolo;Kolari;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1025501-5
Lyni Dancebar;Kauppakatu 13;87100;Kajaani;Kajaani;17.03.2005;Anniskelu A, kaikki alkoholijuomat;0185505-1
Lyytin Pub;Kauppakuja 1;98800;Savukoski;Savukoski;01.07.2014;Anniskelu A, kaikki alkoholijuomat;0947651-5
Lyytin Puoti;Kauppakuja 1;98800;Savukoski;Savukoski;01.07.2014;Vähittäismyyntilupa/max. 5.5 %;0947651-5
Lyöttilä Camping;Lyöttiläntie 635;47540;Lyöttilä;Iitti;16.05.2022;Anniskelu A, kaikki alkoholijuomat;3130408-2
LÄHI ABC! Kiuruvesi;Valtakatu 2;74700;Kiuruvesi;Kiuruvesi;11.06.2001;Vähittäismyyntilupa/max. 5.5 %;0864235-8
LÄHI ABC! Siilinjärvi;Laitilantie 1;71800;Siilinjärvi;Siilinjärvi;01.09.2000;Vähittäismyyntilupa/max. 5.5 %;0864235-8
LÖYLY;Hernesaarenranta 4;00150;Helsinki;Helsinki;29.03.2021;Ann.lupa sis. vähittäismyynnin;0750509-5
Lähde-Kioski;Villähteentie 489;15540;Villähde;Lahti;01.04.2018;Ann.lupa sis. vähittäismyynnin;2011214-9
Lähi ABC! Alavus;Piirantie 1;63300;Alavus;Alavus;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
Lähi ABC! Alavus;Piirantie 1;63300;Alavus;Alavus;25.11.2010;Vähittäismyyntilupa/max. 5.5 %;0567671-2
Lähi ABC! Ilmajoki;Kauppatie 15;60800;Ilmajoki;Ilmajoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
Lähi ABC! Ilmajoki;Kauppatie 15;60800;Ilmajoki;Ilmajoki;23.02.1995;Vähittäismyyntilupa/max. 5.5 %;0567671-2
Lähi ABC! Koulukatu Turku;Koulukatu 29;20100;Turku;Turku;01.01.2015;Vähittäismyyntilupa/max. 5.5 %;0142122-9
Lähi ABC! Teuva;Mikkiläntie 11;64700;Teuva;Teuva;06.10.2004;Vähittäismyyntilupa/max. 5.5 %;0567671-2
Lähi ABC! Teuva;Mikkiläntie 11;64700;Teuva;Teuva;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
Lähi ABC! Ähtäri;Oikotie 8;63700;Ähtäri;Ähtäri;28.04.2009;Vähittäismyyntilupa/max. 5.5 %;0567671-2
Lähi ABC! Ähtäri;Oikotie 8;63700;Ähtäri;Ähtäri;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0567671-2
Lähi-ABC Pickala;Rannikkotie 31;02580;Siuntio;Siuntio;07.04.2016;Vähittäismyyntilupa/max. 5.5 %;2364515-1
LähiKontti;Keskustie 1;43500;Karstula;Karstula;06.04.2020;Vähittäismyyntilupa/max. 5.5 %;N/A
Lähikauppa Kaasinen;Pirttimäenkatu 12;76150;Pieksämäki;Pieksämäki;02.11.1983;Vähittäismyyntilupa/max. 5.5 %;0727118-8
Lähikauppa Limppu;Luomantie 127;62830;Luoma-Aho;Alajärvi;26.09.1995;Vähittäismyyntilupa/max. 5.5 %;0177544-9
Lähipubi Lankila;Takapellontie 10;48400;Kotka;Kotka;13.06.2011;Anniskelu A, kaikki alkoholijuomat;2390321-0
Lähteelän ulkoilualue;Läntinen Källvikintie 10;02480;Kirkkonummi;Kirkkonummi;05.03.2020;Ann.lupa sis. vähittäismyynnin;1004729-1
Lähteenmäen kyläkauppa Ky;Venesjärventie831;38700;Kankaanpää;Kankaanpää;01.02.2002;Vähittäismyyntilupa/max. 5.5 %;1736675-4
Lännen Kaisla;Tahkomäentie 319 B;73310;Tahkovuori;Kuopio;04.12.2020;Anniskelu A, kaikki alkoholijuomat;2413811-9
Lännen Kulta;Kilpakuja 1;01280;Vantaa;Vantaa;01.12.2021;Anniskelu A, kaikki alkoholijuomat;2412824-4
Länsi Kebab & Pizzeria;Viilarinkatu 5;20320;Turku;Turku;01.01.2021;Anniskelu A, kaikki alkoholijuomat;N/A
Länsi Lappi Ravintola;Annankatu 22;00100;Helsinki;Helsinki;02.01.1990;Anniskelu A, kaikki alkoholijuomat;1016510-8
Länsihovi;Pomarkuntie 1;28600;Pori;Pori;16.05.1998;Anniskelu A, kaikki alkoholijuomat;0943794-6
Länsikylä;Kultaojantie;99830;Saariselkä;Sodankylä;28.11.2011;Anniskelu A, kaikki alkoholijuomat;0193088-3
Lättähatun kioski;Pornaistentie 15;07110;Hinthaara;Porvoo;20.11.2017;Vähittäismyyntilupa/max. 5.5 %;1835342-9
Låna;Linnankatu 3 ,Vähätorin Appare;20100;Turku;Turku;06.06.2019;Anniskelu A, kaikki alkoholijuomat;2752008-1
Långvik Congress Wellness Hotel;Tanskarlantie 9;02420;Jorvas;Kirkkonummi;04.04.2018;Ann.lupa sis. vähittäismyynnin;2705969-4
Lönkka;Lönnrotinkatu 11;00120;Helsinki;Helsinki;02.11.2018;Ann.lupa sis. vähittäismyynnin;1656765-0
Löydön Kartano;Kartanontie 151;52300;Ristiina;Mikkeli;25.01.2011;Anniskelu A, kaikki alkoholijuomat;2331432-8
M Aseman Puoti;Rautjärventie 100;56610;Rautjärvi;Rautjärvi;01.04.2017;Vähittäismyyntilupa/max. 5.5 %;2818627-3
M Huuskonen Ky;Niemistenkatu 16;74700;Kiuruvesi;Kiuruvesi;08.03.2000;Vähittäismyyntilupa/max. 5.5 %;0652403-2
M Market Tikanmaa;Kapponkatu 17;21210;Raisio;Raisio;01.01.2022;Vähittäismyyntilupa/max. 5.5 %;1833087-6
M Tirmo Saaristokeskus;Tirmontie 611;07360;Tirmo;Porvoo;07.04.2009;Vähittäismyyntilupa/max. 5.5 %;1537483-0
M Tirmon Saaristokeskus;Tirmontie 611;07360;Tirmo;Porvoo;04.08.2009;Luovutuspaikka;1505551-4
M plus;Rieskalähteentie 91;20300;Turku;Turku;20.04.2006;Vähittäismyyntilupa/max. 5.5 %;2013980-0
M&M Curry 510;Tammelantori;33100;Tampere;Tampere;01.11.2022;Anniskelu A, kaikki alkoholijuomat;3273094-8
M-Anssin kauppa;Miemolantie 8;36720;Aitoo;Pälkäne;25.04.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
M-Market Houtskär Ab;Näsbyvägen 178;21760;Houtskari;PARAINEN;01.05.2018;Luovutuspaikka;1505551-4
M-Market Itäkylä;Ammesmäentie 191;62660;Itäkylä;Lappajärvi;03.01.2018;Vähittäismyyntilupa/max. 5.5 %;2869940-7
M-Market Jaskan Puoti;Vesikoskenkatu 11;32200;Loimaa;Loimaa;19.03.2018;Vähittäismyyntilupa/max. 5.5 %;2882746-4
M-Market Kauhajoki;Puistotie 50;61800;Kauhajoki;Kauhajoki;01.02.2022;Vähittäismyyntilupa/max. 5.5 %;3243000-5
M-Market Keihäskoski;Keihäskoskentie 132;71570;Syvänniemi;Kuopio;01.08.2020;Vähittäismyyntilupa/max. 5.5 %;3137755-6
M-Market Kesseli;Peltokankaantie 139;43800;Kivijärvi;Kivijärvi;01.10.2002;Vähittäismyyntilupa/max. 5.5 %;1782247-3
M-Market Koskikeskus;Hatanpään valtatie 1;33100;Tampere;Tampere;28.02.2022;Vähittäismyyntilupa/max. 5.5 %;1551762-7
M-Market Kupsu;Hollituvantie 5;06450;Porvoo;Porvoo;01.01.2019;Vähittäismyyntilupa/max. 5.5 %;1571560-7
M-Market Luhanka;Rantatie 1;19950;Luhanka;Luhanka;01.12.2009;Vähittäismyyntilupa/max. 5.5 %;2296535-6
M-Market Muurla;Muurlantie 384;25130;Muurla;Salo;14.03.2011;Vähittäismyyntilupa/max. 5.5 %;2383715-3
M-Market Mäntyharju;Kauppatie 16;52700;Mäntyharju;Mäntyharju;04.01.1985;Vähittäismyyntilupa/max. 5.5 %;0959909-9
M-Market Paimio;Vistantie 22;21530;Paimio;Paimio;01.04.2017;Vähittäismyyntilupa/max. 5.5 %;2803126-3
M-Market Parainen;Rantatie 2;21600;Parainen;PARAINEN;11.04.2017;Vähittäismyyntilupa/max. 5.5 %;2824567-5
M-Market Rissanen Lohilahti;Lohilahdentie 1910;58620;Lohilahti;Sulkava;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0971142-3
M-Market Ruukki;Ruukintie 7;07970;Ruotsinpyhtää;Loviisa;01.02.2019;Vähittäismyyntilupa/max. 5.5 %;2959874-7
M-Market Solf;Solfvägen 219;65450;Sulva;Mustasaari;01.07.2021;Vähittäismyyntilupa/max. 5.5 %;N/A
M-Market Sukeva;Sukevantie 16;74340;Sukeva;Sonkajärvi;02.05.2004;Vähittäismyyntilupa/max. 5.5 %;1889502-5
M-Market Taipalsaari;Savilahdentie 2;54920;Taipalsaari;Taipalsaari;15.02.2017;Vähittäismyyntilupa/max. 5.5 %;2469425-4
M-Market Vahto;Vahdontie 1507;21310;Vahto;Rusko;14.11.2017;Vähittäismyyntilupa/max. 5.5 %;2861937-4
M-Skafferi Ett;Bromarvvägen 1834;10570;Bromarv;Raasepori;01.01.2010;Vähittäismyyntilupa/max. 5.5 %;2294166-1
M-Vapriikki;Verstaankatu 1;33100;Tampere;Tampere;01.03.2016;Vähittäismyyntilupa/max. 5.5 %;0897003-6
M-market BioCity;Tykistökatu 6;20520;Turku;Turku;04.01.2013;Vähittäismyyntilupa/max. 5.5 %;2205774-5
M-market Houtskär;Näsbyvägen 178;21760;Houtskari;PARAINEN;01.01.2014;Vähittäismyyntilupa/max. 5.5 %;1567273-1
M-market Koskikartano;Tampereentie 636;16800;Hämeenkoski;Hollola;15.08.2017;Vähittäismyyntilupa/max. 5.5 %;1857330-9
M-market Lukkari;Vionojantie 36;68370;Ullava;Kokkola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2394291-4
M-market Lukkari;Vionojantie 36;68370;Ullava;Kokkola;14.06.2011;Vähittäismyyntilupa/max. 5.5 %;2394291-4
M-market Paloniemi;Paloniementie 6;08450;Lohja;Lohja;06.03.2023;Vähittäismyyntilupa/max. 5.5 %;2911889-7
M-market Pylkönmäki;Keskustie 26;43440;Pylkönmäki;Saarijärvi;19.09.2019;Vähittäismyyntilupa/max. 5.5 %;3015985-6
M-market Säyneinen;Säyneisentie 7;73770;Säyneinen;Kuopio;15.11.2013;Vähittäismyyntilupa/max. 5.5 %;2396832-1
M-market Ylihärmä;Leinosentie 1;62375;Ylihärmä;Kauhava;01.04.2016;Vähittäismyyntilupa/max. 5.5 %;N/A
M.Cafe;Moukarinkuja 4;04300;Tuusula;Tuusula;03.08.2022;Anniskelu A, kaikki alkoholijuomat;3260490-9
M/S Aino;Kallioniementie 106;52360;Someenjärvi;Mikkeli;10.03.2022;Anniskelu A, kaikki alkoholijuomat;3192227-8
M/S Airisto;Itäinen Rantakatu, Charter-lai;20810;Turku;Turku;01.06.2022;Anniskelu A, kaikki alkoholijuomat;3238885-5
M/S Amiraali;Pohjoisranta 23, laituri 2;00170;Helsinki;Helsinki;23.04.2018;Ann.lupa sis. vähittäismyynnin;0931236-9
M/S Bon Marin;Läntinen rantakatu 37;20100;Turku;Turku;15.05.2021;Anniskelu A, kaikki alkoholijuomat;2072041-9
M/S Elias Lönnrot;Kangasmannilantie18;42700;Keuruu;Keuruu;13.06.2022;Anniskelu A, kaikki alkoholijuomat;0146765-7
M/S Europalink;Satamatie 13;21100;Naantali;Naantali;01.02.2022;Kans. väl. laiva;0201153-9
M/S Finnswan;Satamatie 13;21100;Naantali;Naantali;11.05.2021;Kans. väl. laiva;0201153-9
M/S Gudingens Café;m/s Gudingen;22630;Lumparland;Lumparland;01.11.2021;Anniskelu A, kaikki alkoholijuomat;1437968-0
M/S Helsinki;Kauppatori, Kolera-allas;00170;Helsinki;Helsinki;12.06.2019;Anniskelu A, kaikki alkoholijuomat;0656029-5
M/S Isosaari II;Kauppatori/Lyypekinlaituri;00130;Helsinki;Helsinki;04.05.2021;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/S KING;Kauppatori/Pohjoisranta;00170;Helsinki;Helsinki;30.04.2000;Anniskelu A, kaikki alkoholijuomat;0656029-5
M/S Kajava;Kauppatori/Lyypekinlaituri;00130;Helsinki;Helsinki;04.05.2021;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/S Koskelo;Kauppatori/Lyypekinlaituri;00130;Helsinki;Helsinki;04.05.2021;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/S Linnea;Satamatie 60;44300;Konnevesi;Konnevesi;01.05.2019;Anniskelu A, kaikki alkoholijuomat;2861995-6
M/S Natalia;Kauppatori;00170;Helsinki;Helsinki;30.04.2000;Anniskelu A, kaikki alkoholijuomat;0656029-5
M/S PRINCESS;Kauppatori/Pohjoisranta;00170;Helsinki;Helsinki;30.04.2000;Anniskelu A, kaikki alkoholijuomat;0656029-5
M/S Puijo;Porosalmentie 313;58900;Rantasalmi;Savonlinna;21.06.2021;Anniskelu A, kaikki alkoholijuomat;2507488-2
M/S Pyhäjärvi Laiva;Heinolan Satama;18100;Heinola;Heinola;01.04.2019;Anniskelu A, kaikki alkoholijuomat;2660409-9
M/S QUEEN;Kauppatori/Pohjoisranta;00170;Helsinki;Helsinki;30.04.2000;Anniskelu A, kaikki alkoholijuomat;0656029-5
M/S Saimaa Margareta;Lappeenrannan matkustajasatama;53100;Lappeenranta;Lappeenranta;15.05.2016;Anniskelu A, kaikki alkoholijuomat;1968626-8
M/S Suvi-Tuuli;Matkustajasatama, Porvoo;06150;Porvoo;Porvoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2772074-5
M/S Tammerkoski;Laukontori 10 A 3;33200;Tampere;Tampere;05.05.2008;Anniskelu A, kaikki alkoholijuomat;0146765-7
M/S Veannetar;Nykäläntie;62600;Lappajärvi;Lappajärvi;20.06.2018;Anniskelu A, kaikki alkoholijuomat;2758438-4
M/S Viggen café;Åva-Osnäs;22940;Åva;Maarianhamina;01.11.2021;Anniskelu A, kaikki alkoholijuomat;0144879-8
M/S Viking Glory;Ensimmäinen linja 1;20100;Turku;Turku;01.02.2022;Kans. väl. laiva;0144983-8
M/S Viking Xprs;Katajanokka Terminaali K8;00160;Helsinki;Helsinki;07.03.2023;Kans. väl. laiva;0144983-8
M/S Vire;Kauppatori/Kolera-allas;00170;Helsinki;Helsinki;04.05.2021;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/S Wellamo;Kauppatori/ Kolera-allas;00170;Helsinki;Helsinki;28.03.2022;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/Y Gray Swan;Kanavaranta 4;00160;Helsinki;Helsinki;22.05.2018;Anniskelu A, kaikki alkoholijuomat;2170122-8
M/Y Inari III;Siidan ranta;99870;Inari;Inari;01.04.2016;Anniskelu A, kaikki alkoholijuomat;2702265-6
M/s Gädda;Hylkeenpyytäjäntie 9;02270;Espoo;Helsinki;02.05.2022;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/s Ilves;Pohjoisranta 23, laituri 2;00170;Helsinki;Helsinki;20.04.2018;Ann.lupa sis. vähittäismyynnin;0931236-9
M/s Okeanos;Hakaniemenranta 2;00530;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2538283-4
M/s Tuulispää;Kauppatori (Korkeasaaren läht);00170;Helsinki;Helsinki;02.05.2019;Anniskelu A, kaikki alkoholijuomat;2538283-4
M6 Dining;Pakkahuoneenkatu 6;90100;Oulu;Oulu;25.03.2019;Anniskelu A, kaikki alkoholijuomat;2986101-5
MATTI  LAUTAMÄKI KY;Luopajärventie 676b;61270;Luopajärvi;Kurikka;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0805958-4
MAU KAS;Vuorimiehentie 5;02150;Espoo;Espoo;02.01.2019;Anniskelu A, kaikki alkoholijuomat;2311788-5
MBH Breweries Oy, Mikkeli;Insinöörinkatu 7;50150;Mikkeli;Mikkeli;15.09.2018;Valmistuspaikan väh.my/max 5,5 %;2221598-5
MK BISTRO CAFE;Vantaanrinne 14;01730;Vantaa;Vantaa;12.12.2022;Määräaikainen A, kaikki alkoholijuomat;0914450-2
ML/Relandersgrund;Pohjoisranta/Meritullintori 1;00170;Helsinki;Helsinki;27.04.2020;Määräaikainen anniskelu sisältäen vähittäismyynnin;0999145-3
MONTANA Restaurant;Nuppulantie 43;20320;Turku;Turku;19.01.2023;Anniskelu A, kaikki alkoholijuomat;N/A
MR Cafe;Ouluntie 43;92130;Raahe;Raahe;22.11.2021;Vähittäismyyntilupa/max. 5.5 %;2984319-1
MS Helena / Pirkkalines;Lepänkorvan puisto /Kanavanran;37600;Valkeakoski;Valkeakoski;25.04.2023;Anniskelu A, kaikki alkoholijuomat;3338046-8
MURU Ravintola;Fredrikinkatu 41;00120;Helsinki;Helsinki;19.05.2020;Ann.lupa sis. vähittäismyynnin;2353437-1
MYPA Pub;Koulutie 1;46800;Myllykoski;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2678190-9
MaakoŽs;Merimiehenkatu 5;00120;Helsinki;Helsinki;15.06.2018;Anniskelu A, kaikki alkoholijuomat;2818417-1
Maalaiskartano Pihkala;Kestiläntie 1426;92700;Kestilä;Siikalatva;26.04.2006;Anniskelu A, kaikki alkoholijuomat;1942378-3
Maamiesseurantalo Päivölä;Komintie 215;39360;Komi;Hämeenkyrö;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0935197-4
Maaningan Hollitupa;Maaningantie 43;71750;Maaninka;Kuopio;17.11.2016;Anniskelu A, kaikki alkoholijuomat;2787475-2
Maaningan Kasino;Keskisaarentie 58;71750;Maaninka;Kuopio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0172313-9
Maaseutumyymälä Kesänmaku;Unnaanmäentie 2;36660;Laitikkala;Pälkäne;17.12.1998;Vähittäismyyntilupa/max. 5.5 %;0970058-0
Maaseuturavintola Hollolan Hirvi;Aikkalantie 37;15880;Hollola;Hollola;01.10.2020;Anniskelu A, kaikki alkoholijuomat;1520976-3
Maatilamatkailu Höök;Pölläskyläntie 408;58770;Pihlajalahti;Savonlinna;11.07.2018;Ann.lupa sis. vähittäismyynnin;N/A
Maatilamatkailu Kivennapa;Kuonantie 280;73410;Pieksänkoski;Kuopio;25.09.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Maatilamatkailu ja Pitopalvelu;Äitsaarentie 263;56140;Äitsaari;Ruokolahti;15.11.2021;Anniskelu A, kaikki alkoholijuomat;3158455-5
Maatilapuoti - Gårdsboden;Eestinkyläntie 32 A;02480;Kirkkonummi;Kirkkonummi;15.05.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
Maaveden maa- ja kotital.seura;Peiposjärventie 1641;77430;Siikamäki;Pieksämäki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0907400-6
Macken 68600;Gamla Hamnvägen 21;68600;Pietarsaari;Pietarsaari;20.05.2022;Anniskelu A, kaikki alkoholijuomat;3212992-5
Mad Finn Brew Distillery;Pyynikintie 29;33230;Tampere;Tampere;01.06.2022;Ann.lupa sis. vähittäismyynnin;3166037-8
Mad Finn Taproom Hämeenkatu;Hämeenkatu 9;33100;Tampere;Tampere;14.04.2023;Ann.lupa sis. vähittäismyynnin;3166037-8
Mad Hopper Brewing Company Oy;Mannerheimintie 55;00250;Helsinki;Helsinki;07.05.2021;Käsityöläisoluen vähittäismyynti/max 12.0%;3141644-7
Madam Roza Bistro Cafe;Laivalahdenportti 5;00810;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2846597-7
Madez Lounge;Isokatu 15;67100;Kokkola;Kokkola;14.01.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Madonna;Haapaniemenkatu 5;00530;Helsinki;Helsinki;01.02.2020;Anniskelu A, kaikki alkoholijuomat;2998988-7
Madre Restaurant & Cafe;Aleksanterinkatu 23;15110;Lahti;Lahti;12.02.2021;Anniskelu A, kaikki alkoholijuomat;2974755-4
Magasinet;Valhallantie 20;10270;Barösund;Inkoo;19.05.2016;Anniskelu A, kaikki alkoholijuomat;2680306-3
Magical Pond;Takalontie 9;93830;Rukatunturi;Kuusamo;01.12.2019;Anniskelu A, kaikki alkoholijuomat;2957474-5
Magokoro;Rewell Center 101;65100;Vaasa;Vaasa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2324043-7
Magu;Korkeavuorenkatu 27 M 1;00130;Helsinki;Helsinki;19.02.2021;Määräaikainen A, kaikki alkoholijuomat;2938611-1
Mahlun nuorisoseurantalon;Myllymäentie 1592;43220;Mahlu;Saarijärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0220887-6
Maijan Juhla- ja Pitopalvelu;Kiitsontie 4;82500;Kitee;Kitee;01.04.2008;Anniskelu A, kaikki alkoholijuomat;0784800-4
MaijaŽs Pub;Viialantie 2 B;46800;Myllykoski;Kouvola;15.05.2013;Anniskelu A, kaikki alkoholijuomat;2531618-3
Maijun Plussa;Kallaanvaara;98440;Kallaanvaara;Kemijärvi;01.08.1995;Vähittäismyyntilupa/max. 5.5 %;N/A
Maijun Pub;Kallaantie 30;98440;Kallaanvaara;Kemijärvi;10.04.1997;Anniskelu A, kaikki alkoholijuomat;N/A
Mainiemicaravan;Mainiemi;17500;Padasjoki;Padasjoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1579863-3
Mainiokoti Mäntykoto;Sähkökatu 28;05800;Hyvinkää;Hyvinkää;23.10.2017;Anniskelu A, kaikki alkoholijuomat;2099743-4
Maisaari;Maisaari;21150;Röölä;Naantali;01.05.2019;Anniskelu A, kaikki alkoholijuomat;2693691-5
Maisansalon leirintäalue;Kuterintie 34;34260;Terälahti;Tampere;01.06.2011;Vähittäismyyntilupa/max. 5.5 %;0560164-9
Maisapub;Kuterintie 56;34260;Terälahti;Tampere;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0560164-9
Maisemaravintola  Merihelmi;Rynkyntie 9;95100;Kuivaniemi;Ii;11.09.2020;Ann.lupa sis. vähittäismyynnin;2473707-4
Maitolaituri Kahvila & Puoti;Enonkoskentie 11 T;58175;Enonkoski;Enonkoski;07.03.2020;Ann.lupa sis. vähittäismyynnin;2912387-2
Maj.- ja Rav.liike Sininen Hetki;Satamakatu 37;64260;Kaskinen;Kaskinen;18.04.2018;Ann.lupa sis. vähittäismyynnin;2904130-8
Majakka;Unioninraitti 1;58620;Lohilahti;Sulkava;07.08.1998;Anniskelu A, kaikki alkoholijuomat;1459763-7
Majakka;Satamakatu 11;57130;Savonlinna;Savonlinna;29.03.2018;Ann.lupa sis. vähittäismyynnin;0207220-0
Majakka;Medvastintie 5;02420;Jorvas;Kirkkonummi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1007048-3
Majakka Kahvila;Kanavalahti;17200;Vääksy;Asikkala;12.07.1999;Anniskelu A, kaikki alkoholijuomat;0836863-5
Majakkapaviljonki;Kanavalahti;17200;Vääksy;Asikkala;07.05.1993;Vähittäismyyntilupa/max. 5.5 %;0836863-5
Majatalo Elsa;Hirvihaarantie 264;04680;Hirvihaara;Mäntsälä;20.07.2019;Anniskelu A, kaikki alkoholijuomat;2920799-6
Majatalo Haltinmaa;Naalikuja 1;99490;Kilpisjärvi;Enontekiö;15.03.2004;Anniskelu A, kaikki alkoholijuomat;1859086-2
Majatalo Morva;Morvantie 189;42140;Juokslahti;Jämsä;01.06.2011;Anniskelu A, kaikki alkoholijuomat;2394277-0
Majatalo Pihlajapuu;Salmenkyläntie 81;75500;Nurmes;Nurmes;01.11.2002;Anniskelu A, kaikki alkoholijuomat;1040890-7
Majatalo Puukarin Pysäkki;Kajaanintie 844;75700;Valtimo;Nurmes;27.08.2019;Ann.lupa sis. vähittäismyynnin;N/A
Majatalo Sillankorva;Koskelantie 2;69300;Toholampi;Toholampi;29.11.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Majatalo Villa Emilia;Perttulantie 3;32100;Ypäjä;Ypäjä;12.04.2013;Anniskelu A, kaikki alkoholijuomat;1354939-3
Majava Baari / Beaver Bar Tampere;Aleksanterinkatu 29;33100;Tampere;Tampere;06.04.2018;Ann.lupa sis. vähittäismyynnin;2317295-6
Majava Keidas;Yttiläntie 5 as 2;32920;Kauvatsa;Kokemäki;06.07.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Majoitus Pankakoski;Pankakoskentie 13;81750;Pankakoski;Lieksa;30.04.2022;Anniskelu A, kaikki alkoholijuomat;2380739-2
Majvik Kokous- ja Kongressihotelli;PL 122;02430;Masala;Kirkkonummi;16.11.1990;Anniskelu A, kaikki alkoholijuomat;0764806-1
Maka Sushi Tampere;Näsilinnankatu 30;33200;Tampere;Tampere;01.04.2018;Anniskelu A, kaikki alkoholijuomat;2685118-8
Makaronitehdas Ainoa;Länsituuli 5;02100;Espoo;Espoo;01.09.2019;Anniskelu A, kaikki alkoholijuomat;2334826-1
Makaronitehdas Forum;Mannerheimintie 18, alakerta;00100;Helsinki;Helsinki;01.11.2022;Anniskelu A, kaikki alkoholijuomat;2334826-1
Makaronitehdas Iso Omena;Piispansilta 11 LT G-192;02230;Espoo;Espoo;01.04.2019;Anniskelu A, kaikki alkoholijuomat;2334826-1
Makaronitehdas Jumbo;Vantaanportinkatu 3;01510;Vantaa;Vantaa;17.02.2016;Anniskelu A, kaikki alkoholijuomat;2334826-1
Makaronitehdas Redi;Hermannin rantatie 5 A;00580;Helsinki;Helsinki;19.09.2018;Anniskelu A, kaikki alkoholijuomat;2334826-1
Makasiinikahvila;Ankkapurhantie 15;46910;Anjala;Kouvola;25.04.2018;Anniskelu A, kaikki alkoholijuomat;2591728-8
Makasiinin Puoti & Kahvila;Asematie 8-10;52700;Mäntyharju;Mäntyharju;20.05.2022;Ann.lupa sis. vähittäismyynnin;3281654-9
Makasiiniravintola Albatrossi;Makasiinikatu 1;70100;Kuopio;Kuopio;01.09.2011;Anniskelu A, kaikki alkoholijuomat;2393622-3
Makea Coffee;Kauppakatu 31;53100;Lappeenranta;Lappeenranta;03.12.2019;Anniskelu A, kaikki alkoholijuomat;0790752-9
